asin,description,title,price
54,"EasyAcc make it easyEasyAcc PowerBank - make it easy to keep running all the timeWhy choosing EasyAcc iChoc M5 ?1. Fast charging: Save your time- Max input 2A, Charging the iChoc M5 fully just take 3.5 hours, 2.5 hours less than the older PowerBank with 1A input.- Max output 2.5A, Dual Output, double the output of the older version. It can serves your phone and your friend's at the same time in times of emergency.2. Build in Micro USB Charging Cable: Just take your iChoc, more convenient.Say goodbye to cable knots, With an intuitively-sized micro USB cord for Android, WIN8, and other Micro USB input devices; the iChoc allows you to carry your power all-in-one.3. Ultra Slim Design: Easy to carryJust 0.31 inch thin, one of the thinnest power bank in the world, iChoc Sized especially to stack behind your 4.7 inch phone, you can talk, surf or pocket the stacked combo.Specification:- capacity: 5000mAh / 18.5Wh- Input: 5V / 2A Max (Micro USB port, AC Charger or Charging Cable not included)- Output: 5V / 2.5A MaxOutput1: Micro USB port - 5V / 1AOutput2: USB port - 5V / 1A~2A- Size: 131 x 70 x 8.5mm- Net weight: 128gCompatible with all Apple and Android smartphones, tablets and other 5V input USB-charged devices. The iPod nano, iPod touch and some GPS and Bluetooth devices are not supported.Note: not fit for Samsung Tablets,Blackberry Phone,PSPUpgraded points:1. Higher input current, the former one 1A, now 2A,Time-Saving 2.5 hours2. Higher output current, maximum Output Current: 2A ~ 2.5A3. Add a USB output port, maximum possible output: 2A4. New LED flashlightWhat 's Included:1 x EasyAcc powerbank iChoc M51 x User Manual","EasyAcc&reg; 5000mAh 2.5A Dual Port Fast Charging Ultra-Slim Portable External Battery Charger Pack PowerBank built-in Micro-USB Cable and LED Flashlight for iPhone 5S 5C 4S (Apple adapters not included), Andorid Smartphone, Tablets, Bluetooth Speakers headset, Google Glass, Gopro and other devices - Matte Black",27.77
55,"Clear Voice Capture Technology:Not all the bluetooth device has good audio quality, Mpow FreeGo built-in CSR's own echo cancellation and noise suppression DSP software technology for enhancing the audio quality of wireless products.Features:Streams music and audio from your smart phone.Voice indication and Long standby time.The headset power can be indicated on iPhone.Streams music and audio from your cell phone, tablet, MP3 and almost all of devices with Bluetooth functionPlease note that this Bluetooth headset will be a little loose when you wear the glasses, if you usually wear the glasses. We advise you to choose theMpow Knight Bluetooth 4.0 headset.To get high charging speed in your car, we recommend the Mpow 4.2Amps 20W Dual USB Port Car Charger, please search ASIN:B00HLHHBHA to find it. Only $5.99 to get this car charger after you purchase the Mpow FreeGo headset, by using code MPOW42MA at checkout.Specification:Bluetooth Standard: Bluetooth V4.0.Chips: CSR8610 high-end chip from CSR PlcOperation: Class2.Bluetooth Mode: Headset/hands-free/A2DP/AVRCP.Frequency Range: 2.4GHz.Operation Range: Up to 30 feet (10meters).Talk/Playing Time: Up to 5 hours.Standby Time: Up to 120 hours.Charging Time: 2 hoursSize: 61.5x 23.5 x 15.5 mm.Weight: 0.02 poundsPackage included:1 x Bluetooth 4.0 headset1 x User guide3 x eartips (small, medium, large)1 x Micro USB charging cableWarranty:Every MPOW Product includes an 18-month, worry-free Guarantee!","Mpow&reg; FreeGo Wireless Bluetooth 4.0 Headset Headphone with Clear Voice Capture Technology and Echo cancellation for iPhone 5S 5C 5 4S, Galaxy Note 3 2 S4 S3 and other Cellphones",27.99
56,"Similar products are far more expensive. A great headset and value leader.Compare to headsets and headphones costing far more.Get in the groove wirelessly. Music lovers appreciate the thick bottom end.Although small and lightweight, these Bluetooth headphones offer a solid bass reproduction and clarity to awe your friends.No matter what you're doing, these headphones come along with you. Wear during workouts or when driving.With their lightweight and comfortable design, these headphones can be worn during long workouts or for hours behind the wheel. Never be without your phone or playlists.Distortion-free sound.Listen to all your music with the volume up high and never worry about distortion. Warning: Be careful about lending them to friends-you may not get them back!WeCare at BrightechAt Brightech, we stand behind all our products 100%. That's why we offer an industry leading 5-year satisfaction guarantee on all of our Bluetooth headphones. If for any reason you are not completely satisfied with your order, please contact us via email we will make sure to make things right!",Brightech - Active2&trade; Bluetooth Headset / Headphones with Mic for Wireless Streaming Music and Hands Free Calling,30.99
57,"Capacity, charge speed, or portability? With the Etronic Jupiter787, you get all three. Who would've thought that 10000mAh could be so compatible, light, and sleek? Intelligent circuitry provides safe and highly efficient charging. Top quality battery cells assure long life. Etronic's Jupiter Battery Series is fully compliant with international safety standards.Built-in LCD + Emergency Light TorchDesigned to be functional and efficient, the built-in LCD lets you know charging status and battery level with easy to read 0-100% digital battery indicator. No more guessing, know exactly how much juice is left to better managing all your devices. We also include a bonus Emergency Light Torch feature to help you find ways in the dark.Choose Your PersonalityPick a Jupiter that maches your style in Jet Black or Alpine White.Device Compatibility* APPLE: iPhone 5 4S 4 3 3GS / iPod Touch/Classic/Nano/ iPad Retina/Mini/2 [OEM or LIGHTNING CABLE REQUIRED]* HTC: One X V S / Sensation XE XL / Thunderbolt / EVO 3D / EVO 4G / Evo Shift 4g* SAMSUNG: Galaxy S4 S3 S2 S / Note 1 2 / Epic 4G / Galaxy Nexus* Any other mobile devices that can charge through USB portPackage and Warranty- Jupiter787 Battery Pack- User Guide- 1x Micro USB Cable + 1x Universal Cable for Apple (30-pin), Nokia, and MicroUSB.- The Jupiter787 Battery Pack backed by a Etronic Limited 1 Year Warranty.",Etronic Jupiter787 10000mAh Portable High Capacity 5V 3.1A Dual-USB-Port External Battery Power Bank Backup Charger [Built-In LCD Indicator + Built-In Emergency LED Flashlight + Micro USB / Apple 30-Pin / DC2.0 Adapters + Travel Pouch] - Jet Black,29.99
58,,"ARCTIC P402BT Bluetooth Stereo Headphones with Integrated Mic, A2DP/AVRCP, 30-Hour Playback for Tablet/Smartphone/MP3 - Black",54.89
59,"These Styli unlock the full potential of your iPad, iPhone, Kindle Fire, Samsung Galaxy or other Touch Screen Device. Don't limit yourself to the precision of your fingertip. Fingers are great for painting when you are 4 - but, if you really want to touch, type, innovate and design on your device you need a capacitive stylus. These Styluses makes it easy to turn a page, pick a movie, draw a picture and keeps pesky fingerprints off your glossy screen. The stylus's durable rubber tip connects your brain to your device - requires no power, no drivers and no setup - just open the package and create - or escape.Have a young one using your device - using a pen like stylus is proven by educational experts to help them develop the motor skills and eye hand coordination they will need when learning to write with the modern day quill and feather.Product highlightsThe tip of the stylus engages directly with your electronic, touch-screen device, requires no power or software to operate and instantly works right out of the box.Compatible with many SmartphonesApple: iPhone 5/ iphone4s/ iPhone 4/ iPhone 3Gs/ iPod Touch/Classic/NanoSamsung Galaxy Note/Galaxy S3/Galaxy S2 / Galaxy Nexus /All other Samsung cell phonesHTC Evo Shift 4G and all other HTC cell phones.Motorola Razr/Atrix / Bionic/ Droid X , X2/ triumph/All other Motorola cell phonesBlackberry Tour/Storm 2/Curve/ Bold/ Blackberry cell phonesTabletsiPad (4th gen) with Retina display, the NEW iPad (3rd gen), iPad2, iPad, Nook COLOR, Nexus 7, Galaxy Note, Galaxy Tab, Asus Transformer series, Motorola XOOM, Dell Streak 7,   ASUS Eee Slate","Sty-HD 2 Pack of Premium Precision Micro-Knit Hybrid Fiber Tip Capacitive Stylus Pens for iPhone 5 4 4s, iPod touch, All iPad: 1st Gen, 2, the NEW iPad, iPad 4th gen with Retina display, iPad Mini, Samsung Galaxy Tablet and Phone Black and Silver Color",9.99
60,"""Two in one smart design feature""This luxury-grade offering from Sty-HD is really a great addition to the office and offers the certainty that your electronic accessories look as professional as you require them to. The sleek, black look and high quality pen-stylus combo is designed for business executives, CEOs and those out to impress. The stylus is designed to be compatible with almost all touch-screen devices and is perfectly weighted for easy sliding.All our packaging is recyclable and designed to be totally frustration-free: no fiddly wire-ties or annoying hard plastic clamshells or blister packs.Move and type with confidence with this beautiful Sty-HD offering!","Business Stylus Executive Pen - Capacitive Stylus Touch Screen Cellphone Tablet Pen for iPhone 5 4 4s 3 3Gs iPod Touch iPad 2 3 4 Motorola Xoom, Samsung Galaxy S4 S3, Barnes and Noble Nook Color, Droid Bionic",8.99
61,"Real 3100mAH Capacity! No inflated capacity rating or BS like other brands! We also make the Thinnest and Fastest External Battery Pack in the World!The best mAh/$ Value in Market Guarantee!Don't like it? Return it! We are confident that you will not be returning since no one can beat this mAH/$ savingsSPECS:Input: 5V/1.5A. Charge time 2 hours =FASTEST INPUT CHARGE FOR 3000mAh CLASS IN THEWORLD!Output:1 standard USB port@2.1A =FASTEST OUTPUT CHARGE FOR 3000mAh CLASS IN THE WORLD!Include: Flat line microUSB Charging Cable9999 Days Warranty - Longest in Industry:How about a 9999 Days Warranty to keep you as our happy customer?Each battery pack comes with 9999 Days Warranty. This Warranty is longer than all your devices warranty period combined!For most batteries on the market, this energy loss reduces the effective capacity by up to 30% of the total power of an external battery. Their total energy conversion rate (TECR) is @ a mere 70%. 5 Star America's highly advanced batteries have an astonishing 85% TECR.We achieve these results by employing a design that includes the best internal batteries made for LG phones, Made in Japan control chip and an aluminium battery heat transfer method that keeps heat away from the internal components. Our batteries can go through over 500 full charge/discharge cycles over the life of the product.Charge-Through TechnologyMost batteries we encountered are not capable of charging other devices while the external batteries are getting charged. To make life simpler we have a battery that can do both at the same time.Only products in Fulfillment by Amazon Program are authorized Resellers","[9999 DAYS WARRANTY]3100mAh External Battery Charger by 5 Star America **THINNEST + FASTEST CHARGING EXTERNAL BATTERY PACK IN THE WORLD 2A Output** Color:Black/Black for iPhone 5s/5/5c (Lightning Adapter not included) 4S 4 3GS, iPod, Samsung Galaxy Note 1/2/3, Galaxy S4, Galaxy S3, Galaxy S2, Galaxy Nexus, HTC One X, One S, Sensation G14, ThunderBolt, Nokia N9 Lumia 1020 920, Blackberry Z10, GoPro and other-Best mAh/$ Capacity Value (5S-31-Black/Black)",8.99
62,"ARCTIC S113BT is a portable wireless speaker system that combines the best of both worlds: one-touch pairing through Near Field Communication (NFC) and extended range through Bluetooth 4.0. NFC cuts the pairing process to a fraction of a second and is as easy as putting your Android device on top of the ARCTIC S113BT. Powerful Bluetooth 4.0 connectivity gives you true stereo sound far superior than what the tiny speakers from your mobile device can ever produce even with your device is 30 feet away from the ARCTIC S113BT! ARCTIC S113BT supports the same high quality Advanced Audio Coding (AAC) digital audio format popularized by YouTube, iPhone, iPod, iPad, Nintendo & PlayStation 3 and delivers better sound quality than MP3 at similar bit rates. ARCTIC S113BT is also compatible with aptX digital audio codec compression technology that brings you high quality audio virtually identical as wired speakers with an impressive dynamic range and crisp clarity. Standard 3.5mm audio cable is provided if you prefer wired connection. Dual full-range drivers & two bass radiators deliver excellent sound indoor and outdoor. Built-in rechargeable battery provides up to 8 hours of playback in a single charge. ARCTIC S113BT has a rubberized protective casing in a petite footprint of only 7""x3""x2"" that weighs only 14 oz. A padded nylon carrying case keeps it safe and dry wherever you go. The integrated omni-directional microphone in ARCTIC S113BT turns it into your portable speaker box in the car or in conference room. ARCTIC S113BT supports NFC and/or Bluetooth-enabled devices running iOS/Android/Windows. Feel free to pair ARCTIC S113BT with your smartphones, tablets, e-reader, MP3, laptop and even desktop enjoying full stereo audio without tangling speaker wires. ARCTIC 113BT comes with a 2-year limited warranty and there are 6 different colors to choose from for different lifestyles. Contact arctic.us@arctic.ac for services.","ARCTIC S113BT NFC/Bluetooth 4.0 Stereo Speaker, AAC/aptX, Build-in Microphone for Hands-Free Calls, White",46.95
63,,"DKnight Magicbox Ultra-Portable Wireless Bluetooth Speaker,Powerful Sound with build in Microphone, Works for Iphone, Ipad Mini, Ipad 4/3/2, Itouch, Blackberry, Nexus, Samsung and other Smart Phones and Mp3 Players [[Upgraded with standard &quot;Beep&quot; sound prompts] (Red)",39.99
64,"The 9to5Cables 3.1A 15W Dual Port USB Wall charger is perfect for people with multiple devices. The Dual Port allows you to simultaneously charge your iPad and another tablet or your Smartphone. Built to our exacting specifications, it has never been easier to charge your two smartphones, or smartphone and tablet, at the same time!. It is compact with high quality finish and comes with 9to5Cables 1 year warranty.High Speed Dual ChargeWith the 9to5Cables Smart Charge capabilities, the Rapid USB Car Charger will detect your devices battery charge and adjust output power to get your device 100% charged as quickly as possible.Overcharge Protection9to5Cables Dual 15W USB Wall Charger  includes Smart Charge technology that recognizes when your device is fully charged, preventing your device from being overcharged, which degrades your device battery.Compatible DevicesUSB Port 1 (labeled as UNI 1A,designed for non apple products) CompatibilityiPhone / iPod Touch @ 0.5 Ampere Max.Androids phones / GPS / Tablet etc. @ 1 to 3.1A Ampere Max.NOTE""Currently known support tablets: Samsung Galaxy Tab / Note Series, Amazon Kindle Fire & all other Kindles,Nook Color, HTC Flyer, Huawei Tablets.NOT compatible with HP TouchPad, Asus transformer or Motorola Xoom.May not be compatible with some Blackberry & Motorola Phones.USB Port 2 (labeled as APP 1-2.1A-  Designed for Apple products) CompatibilityiPad @ 2 Ampere Max.iPhone / iPod Touch @ 1 Ampere Max.Others phones / GPS / Tablet etc. @ 0.5 to 3.1A Ampere Max. (May not support charging / or slow charging with some devices)WarrantyCovered by 9to5Cables Lifetime Warranty.",9to5Cables Dual USB 3.1A (15W) Wall Charger [UL Certified] - Designed for Apple and Android Devices - Smart Charge Technology - Flip Down Plug - Lifetime Warranty - BLACK,10.99
65,"CompatibilityUSB Port 1 (labeled as UNI, designed for non apple products)CompatibilityiPhone / iPod Touch @ 0.5 Ampere Max.Androids phones / GPS / Tablet etc. @ 1 to 2.4A Ampere Max.NOTE 1:Currently known support tablets: Samsung Galaxy Tab / Note Series, Amazon Kindle Fire & all other Kindles,Nook Color, HTC Flyer, Huawei Tablets.NOTE 2: NOT compatible with HP TouchPad, Asus transformer or Motorola Xoom.NOTE 3: May not compatible with some Blackberry & Motorola Phones.USB Port 2 (labeled as APP  -  Designed for Apple products)CompatibilityiPad @ 2 Ampere Max.iPhone / iPod Touch @ 1 Ampere Max.Others phones / GPS / Tablet etc. @ 0.5 to 2.4A Ampere Max. (May not support charging / or slow charging with some devices)Compatible with many Smartphone and TabletsApple:iPhone 5/5s/c, iPhone 4/4s, iPhone 3Gs/3G, iPad Mini, iPad 4/3/2, iPod Touch (all generations), iPod Nano (all generations) iPod VideoSamsung:Galaxy S/S2/S3/S4Motorola:Droid RAZR MAXX HD, Droid RAZR MAXX, Droid 2, Droid 3, Droid 4, Droid RAZR HDBarnes & Noble:Nook Tablet/Color/HDGoogle:Nexus 4, Nexus 7, Nexus 10BlackBerry:Curve 9380,9320,9360,8520,Torch 9810, 9860, Bold 9900,9790, PlaybookSony:Xperia S, Xperia Ion, Xperia ARC S, Xperia Z, Xperia ZNokia:Lumia 920, Lumia 820, Lumia 900, Lumia 800, Lumia 710HTC:One X, One X+, One XL, One S, One XS, One V, Droid DNA, J Butterfly, EVO 4G LTE, EVO 3D, FlyerWarrantyCovered by 9to5Cables 1 year warranty.",9to5Cables Dual 2.4Amps / 12W USB Car Charger for Apple iPod iPhone iPad Samsung Galaxy Tab 10.1 - With Smart Charge Technology,7.99
66,"FRiEQCloth Jacketed USB 2.0 compliant cable feature Gold Plated Connectors for corrosion resistance and heavy gauge wires for years of reliable use. The gauge of the wire we used is much thicker than other cables providing a much faster charging and data exchange.6 Feet Of ReachGet up to 6 feet of distance with the FRiEQ Hi-Speed Clothed Jacketed cable. Never again worry about not having sufficient reach from your USB charger cable.Faster ChargingNylon fiber sheathing with gold plated connectors ensures reduces heating while fast charging over AC Adapter ensuring quicker charging rates and less time. The gauge of wire is so much thicker than competing cables such that it resists internal corrosion, abrasions and more.Instant SyncingWorks with all smartphones, tablets and PDA devices, instantly connecting with a laptop or computer and syncing seamlessly. (Samsung, Nokia, HTC, Motorola, LG, Sony Ericsson)Compatibility- HTC- Motorola- Sprint- Nokia- LG- Hewlett-Packard- Samsung- Sony EricssonOne Year Limited Warranty",FRiEQ&reg; Hi-Speed Cloth Jacketed Tangle-Free USB 2.0 A Male to Micro B Cable (6 Ft/1.8m),7.99
67,"With 30000mAh High Capacity, Keep Your Devices Working Uninterrupted.Enough Energy30000mAh capacity meaning it can charge your iPhone 5 or 4 about 18 times, your 
Galaxy S3 or S4 about 10 times, your laptops or iPad mini 5 to 6 times, no worry 
about power off.Safety PowerHigh quality Lithium-ion battery ensures safety and reliability, above 500+ 
recharge cycles over the life of the battery, keep your devices working 
uninterrupted.Stylish DesignSurface was made by high quality frosted material, it can keep away from damage 
by any unintended scratches, which is comfortable to carry it in hand.Ideal Travel Partner5 smart LED indicators remind you update the remaining capacity, with 2 outputs 
5V&amp;19V support to charge 2 devices simultaneously, great for long flight and 
traveling.Package List: 30000mAh External Battery x1, Laptop Connectors x10, Phone 
Connectors x5, AC Adapter x1, DC Power Cable x1 User Manual x1.Why Choose OXA?*Quality is the best salesman. Any items sold by OXA have 1 year guarantee. 
What's more, OXA will extend the warranty time for half a year.*OXA have professional staff to answer your questions, and we are ready to help 
you resolve any issues, no worry about after-sales service.*More juice, More life; OXA adhere to provide our customers with high quality 
products and excellent service, search OXA on Amazon to get more items you need.&#x3000;","OXA 30000mah Frosted Box F1 Ultrathin External Battery Pack Portable Charger Power Bank with Multi-voltage (5v 12v 16v 19v) for Ipad 2 3 4 Mini, Kindle, Microsoft Surface, Asus Acer Dell Hp Lenovo Sony Toshiba Laptops; Iphone 5 5s 5c 4 4s, Samsung Galaxy S4 S3 Note3 Note2, Google Nexus 5 7 10 Smartphones; Psp, Gps, Mp4, Canon Nikon Sony Digital Cameras and More",114.99
68,"Crazily ConvenientNukePak LEDs light up when you have juice!
Lock and load into any standard car power socketVersatileCompatible with almost all types of devices
Elegant design for added portability - great for travel!Super-safe Warp Speed ChargingTurbo-charge your device, save yourself time! 
Your device will stop charging when fully loaded!","NukePak Dual Port Car Charger for Apple iPad, New iPad 3 4, iPhone 5s 5c 5 4s 4 3 3Gs, Samsung Motorola Android Smart Phones &amp; Tablets UL Listed (Charger Only - No Lightning or Other Cables Included)",8.99
69,"Warranty:a one-year warranty and you can return to get a refund within 30 days.Specifications:-Model: Bolkin Power s-100-Capacity: 2600mAh-Size: 96mm*24mm*22mm-Input: 5V 1A-Output: USB 5V 1A ~ 2.1ASecurity Protection:Multiple safety protection mechanisms, protection against overcharge, overload, overvoltage, over-current, and short circuit.Popular Compatible Models:(Not a full list)-All smartphone/tablets with Micro/Mini USB connector-Samsung:Galaxy S4/S3/Galaxy Note 2/Galaxy S ii/Galaxy note-HTC: One S/X/XL/Sensation 4G/XE/ EVO 4G/Inspire 4G-Apple:iPhone 5/5S/5c/iPhone 4/4S/iPhone 3GS/ipod touch/iPad 2/new iPad-Others.Package includes:1* bolkin 2600 Power Bank4* Connectors for most phones1* Micro USB cable","Bolkin&reg; S-100 2600mah High Capacity Portable Rechargeable USB Power Bank External Battery Charger Pack for Iphones, Ipods, Ipads, Samsung, Htc, Blackberry, Sony, Nokia, Motorola, Mp3, Mp4, Lg and More (green)",11.15
70,"World first 5 port usb desktop charger at 5V/8A, Simultaneously charge all your devices at full speed.5 USB PortsTruely charge all your devices at fastest possible speed for tablets, phones, power banks and other USB devices. 5V / 8A total output.USB Output(iPad/U): 5V, 2A(Max)USB Output(Samsung/U): 5V, 2A(Max)USB Output(Universal): 5V, 1A(Max)Total Output: 5V, 8A(Max)DesignMost Powerful USB Desktop charger on the marktet at super compact size (4.56x2.46x1.18in), Super long detachable power cord (5ft/1.5M) lets you plug into any stadard wall outlet and leave the usb charger on the desktop.BolseAt Bolse, we're fascinated by gadgets and have been customers ourselves long enough to know the difference between what's merely good and what's really great. No matter how quickly technology changes, Bolse can help you stay ahead of the pack.One-Year Limited Warranty","Bolse NewPower 40W (5V/8A) 5-Port USB Wall/Desktop charger for iPhone, iPad, Samsung Tab, and Android Devices",22.99
71,"The Secret to Mobile Power and Connectivity is Yours!This is the only car charger kit you will ever need for your Apple, Android  or other mobile electronic devices. This beautifully-presented kit contains only the highest-quality components and and includes 2 bonus non-slip silicon dash mats.The VoltRanger Dual-USB Car Adapter (2 Units)- Dual USB charging ports - That enables you to charge your phone and tablet simultaneously at the fastest speed possible- Smart circuitry - that senses when your device is fully charged to prevent overcharging- Low porfile design - that won't stick out of the car charger socket and fit your car's interior seamlessly- Solid construction that meets CE, FCC, & RoHs StandardsMinzos Gives You MoreIncludes 2 Bonus Non-Slip Silicon Mats: Have you ever found yourself in your car with no place to rest your cell phone while driving? For a limited time, the VoltRanger Charging kit includes a free Silicon Non-Slip Mat. With this ""Miracle Mat"" you can rest your phone on the dash (even at steep angles) and never worry about the phone falling off! And, trust us, there will be no residue and there is no adhesive used. Normally sold at $12.95, these mats are included in the package for a limited time, Free! Act now to take advantage of this amazing offer while supplies last.Click the ""Add-To-Cart"" button now to get yours on its way now!",voltRanger 3.1 Amp Dual-USB Car Charger Gift Set Designed for Apple and Android Mobile Devices - Both Black &amp; White Versions Included - Contains Two Units &amp; 2 Bonus Non-Slip Dashboard Mats,25.97
72,"On May 1st 2014 we released a new version of this product. We made it better and stronger.The Zeetron Lightning USB cable enables you to know the status of your battery charge without having to pick up your device.The two built-in LED'S allow the color to change based on the battery status. When the cable is plugged into the wall or computer, it will light up blue, signaling that it is activated and ready to be used. Once plugged into the device, the LED will turn red, and charge your device to full capacity. Finally, once the charge is at full, it will return to the non-flashing blue color.Compatible with:iPhone 5iPhone 5SiPhone 5CiPod 5th GeniPad AiriPad MiniNote:If you have a bulky case where the charge port is blocked off, you may have to remove the case to charge your device.1 Year Limited Warranty:Zeetron products are covered under a one year limited warranty",Zeetron Light up Lightning USB Cable for Iphone 5 5s 5c Ipad 4 Ipad Mini Ipad Air Ipod Touch 5th Gen- Retail Packaging (Lightning to Usb) (Verison 2 New &amp; Improved),12.99
73,"EasyAcc Make it easyEasyAcc PowerBank - Make it easy to keep running all the timeWhy choosing EasyAcc U-Bright 3000 ?Ultra Portable- 4.22 x 0.95 x 0.86 inch - lipstick size, fits easily into any pocket or bag, as well as hold in hand.- Weight: 2.41 ounce, light weight to take it without it weighing you down.Built in Super Bright LED Flashlight0.5W/ 40~50 Lumens, al least 10 times the brightness of that in ordinary power bank; it's not just a power bank, but a backup flashlight as well.Distinctive Design:Rope HoleIt can be used either for household or outdoors. Included with two straps (Neck Strap & Wrist Strap) to liberate your hands, you can use it as all you wantFaster Charging Speed2.1A Output, charge your device at top speed. Attached with two micro USB cables of different length - one is 20CM and the other 60CM to meet different needs.Compatibility:- Apple: iPhone 5s/5c/5/4s/4, iPod Touch/Shuffle/Nano/Classic- Samsung Galaxy S4 / S3 /Note 2 3, other Samsung Smartphones- Google Nexus 4 5 ,Google Glass- Android/Windows Smartphones (with DC 5v Input):HTC,LG,Nokia,Huawei- MP3 / MP4 Player,Bluetooth Speaker / HeadsetSpecification:- Capacity:3000mAh / 11.1Wh- Battery Cell Type: Li-ion Battery Cell- Size:4.22 x 0.95 x 0.86 inch- Weight: 2.41 ounce- LED Flashlight: 0.5W / 40~ 50 Lumens- Output: DC 5V 2.1A (Max)In the box:1 x EasyAcc U-Bright 30001 x Micro USB Cable (20cm)1 x Micro USB Cable (60cm)1 x Neck Strap1 x Wrist Strap1 x User Manual(Apple Lightning/30 pin cable is not included)","EasyAcc&reg; U-bright 3000mAh Power bank Lipstick size 2.1A Output with 0.5W LED Flashlight Portable External Battery Charger for iPhone 5S, 5C, 4S (Apple Adapter not included); Samsung Galaxy S4,S3,Note 2 3;Google Nexus 5,4;Google Glass; HTC One, Bluetooth Headphones, Android / Windows Smartphones [Ultra Compact, with Rope Hole]",16.99
74,"uNu&rsquo;s Aero Series Samsung Galaxy S4 Battery Case is bounded with the newly uNu Aero Charging Technology. Designed to be more than just a battery case, this new uNu battery case is featuring unbridled power wrapped within a refined frame, which brings power and protection to a new level. Your satisfaction is our top priority as we aim to develop long term partnerships with our customers.Ultra Slim Fit Double Your Battery LifeThe ergonomic yet slim style 2600 mAh battery case provides your Samsung Galaxy S4 the true 100% battery boost, equal to an additional 10 hours of talk time.Uncompromised ProtectionFully-customizable design with 360 degrees protection offers your premium protection from scratches, fingerprints, smudging and bumps.Full AccessibilityThe intelligent and novel design provides a viable benefit to you, such easy access to all functions, camera, and headphone jack.uNu Aero Charing TechnologyAn Innovative Aero Charging Technology with Certified High Performance Reliability.Top Quality GuaranteeduNu strict quality control ensures top quality, stylish, and safety for our customers.",uNu Aero Series Samsung Galaxy S4 Battery Case with Wireless Charging Technology [Black/Black] - External Slim Protective Battery Case Cover for Samsung Galaxy S4 Compatibles with All Models Samsung Galaxy S4 i9500,73.88
75,5600mAh High Capacity External Rechargeable Battery,"Energen Light Mini 5600mah Portable High Capacity External Rechargeable Battery Power Pack for Iphone 5s, 5c, Ipad Air, Mini 2, Note 3, Nexus 5, Moto X, Ps Vita, Gopro (Apple Adapters Not Included), Most Smartphones, Tablets and Other Usb-charged Devices",18.74
76,"Description:The Sabrent Power Card charger is an emergency charging solution for smart phones. It's nearly the size of a credit card and provides a 400mAh power bank on the go. In emergency situations, you can add as much as 3 hours of standby time on your smart phone. Simply connect the Power Card to your device, using the Micro USB connector and you are ready to go.There is also a built-in LED flashlight, which is great to have around for emergency situations.Features:- Battery Capacity: 400 mAh- Dimensions (Millimeters): 85 x 53 x 5.7- Rechargeable Battery: Yes- Charger input current: 400 mA- Charger output current: 400 mA- Charger input voltage: 5V DCWhat's in the box?- Power Card charger - 400mAh with",Sabrent Slim Credit Card Sized Charge Card Adapter for Micro USB with 400mAh Emergency External Battery Backup Charger Power Bank Charger (PB-RSCC),9.99
77,"Description:This Sabrent Power Bank contains 12000mAh of capacity, giving you the ability to charge an iPhone 4 six to seven times, keeping your devices running all the timeCharge your smart phones and tablets at top speed. Max Output 2.1A.Perfect for home use, road trips, long flights, picnics, camping, outdoor parties, BBQs, etc.Features:- Battery Capacity: 12000 mAh- Input: 5.0V/1.5-2A- Output: 5.0V/3.1A&#xFF08;Two USB output Shared)- Charging time: 5.5-6 hours- Product Dimensions:
10x73x153mmWhat's in the box?- High Capacity Power Bank (12000mAh)- Micro USB Cable- User ManualWarranty:This product comes with a one year warranty.In order for us to properly assist you, please follow these simple instructions:Go to www.sabrent.com/support and click 'Submit a ticket'.Submit your ticket.You must include your Amazon Order ID# number in the subject line.",Sabrent 12000mAh High Capacity External Backup Battery Charger Power Bank Charger with Dual USB Port (PB-W120),39.99
78,"Bolse latest High Output 3-Port USB 5.4A/27W High Output Car Charger. This compact charger is perfect for the modern commuter who needs power for their iPad and smartphones while on-the-road. With a total output of 5.4A, the most powerful car charger on the market. This charger can power up Tablet and Smartphone at the same time or any other USB powered device. No other devices on the market can offer this much power. Use your existing USB charging cables to charge most USB powered devices. Sophisticated circuit desing with over-heated, over-current, over-charging protection. Charging will be automatically stop when battery is full.3 USB PortsTruly charge all your devices at fastest possible speed for tablets, phones, power banks and other USB devices. 5V / 5.4A total output.SmartIC&#8482;SmartIC&#8482; Technology is the latest charging solution it has its own microchip that detects the device plugged into through USB PIN signals, which gives output at full power and full charging speed.**We strongly recommend using your original cable(such as MFI Certified) to get full speed charging**CompatibilityCompatible with All iPhones, Androids, tablets, and any other USB-Charging devices.**NOTE**- NOT compatible with HP TouchPad, Asus transformer or Motorola Xoom- May not support charging / or slow charging with some devicesBolseAt Bolse, we're fascinated by gadgets and have been customers ourselves long enough to know the difference between what's merely good and what's really great. No matter how quickly technology changes, Bolse can help you stay ahead of the pack.12 Month Manufacturer Warranty from Bolse","Bolse&reg; High Output 3-Port USB Car Charger (27W / 5.4A), Provides Maximum Power For 3 Devices At Once With SmartIC Technology for iPhone 5, 5S, 4S; Samsung Galaxy S5, S4, S3, Galaxy Note 3, 2; iPad Air, 5, 4, mini; LG G2; Motorola and HTC",14.99
